1,Jasprit Bumrah,774,batting_odi,INDIA,
2,Trent Boult,759,batting_odi,NEW ZEALAND,
3,Rashid Khan,747,batting_odi,AFGHANISTAN,
4,Imran Tahir,703,batting_odi,SOUTH AFRICA,
5,Kagiso Rabada,701,batting_odi,SOUTH AFRICA,
6,Kuldeep Yadav,689,batting_odi,INDIA,
7,Pat Cummins,681,batting_odi,AUSTRALIA,
8,Yuzvendra Chahal,680,batting_odi,INDIA,
9,Mujeeb Ur Rahman,678,batting_odi,AFGHANISTAN,
10,Adil Rashid,672,batting_odi,ENGLAND,
11,Mustafizur Rahman,667,batting_odi,BANGLADESH,
12,Josh Hazlewood,648,batting_odi,AUSTRALIA,
13,Hasan Ali,634,batting_odi,PAKISTAN,
14,Akila Dananjaya,627,batting_odi,SRI LANKA,
15,Matt Henry,625,batting_odi,NEW ZEALAND,
16,Bhuvneshwar Kumar,619,batting_odi,INDIA,
17,Chris Woakes,618,batting_odi,ENGLAND,
18,Dale Steyn,618,batting_odi,SOUTH AFRICA,
19,Mohammad Nabi,614,batting_odi,AFGHANISTAN,
20,Mitchell Starc,607,batting_odi,AUSTRALIA,
21,Andile Phehlukwayo,599,batting_odi,SOUTH AFRICA,
22,Lockie Ferguson,598,batting_odi,NEW ZEALAND,
23,Shadab Khan,597,batting_odi,PAKISTAN,
24,Mark Wood,587,batting_odi,ENGLAND,
25,Mitchell Santner,586,batting_odi,NEW ZEALAND,
26,Lungi Ngidi,584,batting_odi,SOUTH AFRICA,
27,Mashrafe Mortaza,581,batting_odi,BANGLADESH,
28,Shakib Al Hasan,575,batting_odi,BANGLADESH,
29,Mehidy Hasan,565,batting_odi,BANGLADESH,
30,Jason Holder,562,batting_odi,WINDIES,
31,Tim Murtagh,562,batting_odi,IRELAND,
32,Mohammad Amir,562,batting_odi,PAKISTAN,
33,Ravindra Jadeja,555,batting_odi,INDIA,
34,Moeen Ali,554,batting_odi,ENGLAND,
35,Mohammed Shami,549,batting_odi,INDIA,
36,Liam Plunkett,548,batting_odi,ENGLAND,
37,Graeme Cremer,540,batting_odi,ZIMBABWE,
38,Ish Sodhi,537,batting_odi,NEW ZEALAND,
39,Tim Southee,536,batting_odi,NEW ZEALAND,
40,Suranga Lakmal,534,batting_odi,SRI LANKA,
41,Junaid Khan,529,batting_odi,PAKISTAN,
42,Andy McBrine,526,batting_odi,IRELAND,
43,David Willey,521,batting_odi,ENGLAND,
44,Imad Wasim,519,batting_odi,PAKISTAN,
45,Ashley Nurse,515,batting_odi,WINDIES,
46,Lasith Malinga,515,batting_odi,SRI LANKA,
47,Jhye Richardson,508,batting_odi,AUSTRALIA,
48,Safyaan Sharif,508,batting_odi,SCOTLAND,
49,Adam Zampa,498,batting_odi,AUSTRALIA,
50,Mohammad Hafeez,498,batting_odi,PAKISTAN,
51,Tendai Chatara,495,batting_odi,ZIMBABWE,
52,Boyd Rankin,494,batting_odi,IRELAND,
53,Dwaine Pretorius,488,batting_odi,SOUTH AFRICA,
54,Sikandar Raza,482,batting_odi,ZIMBABWE,
55,Dawlat Zadran,480,batting_odi,AFGHANISTAN,
56,Colin de Grandhomme,476,batting_odi,NEW ZEALAND,
57,Rubel Hossain,473,batting_odi,BANGLADESH,
58,Hardik Pandya,470,batting_odi,INDIA,
59,Mohammad Naveed,470,batting_odi,UNITED ARAB EMIRATES,
60,Nathan Coulter-Nile,467,batting_odi,AUSTRALIA,
61,Kemar Roach,463,batting_odi,WINDIES,
62,Ahmed Raza,459,batting_odi,UNITED ARAB EMIRATES,
63,George Dockrell,459,batting_odi,IRELAND,
64,Nuwan Pradeep,458,batting_odi,SRI LANKA,
65,Dushmantha Chameera,455,batting_odi,SRI LANKA,
66,Yasir Shah,454,batting_odi,PAKISTAN,
67,Gulbadin Naib,446,batting_odi,AFGHANISTAN,
68,Tabraiz Shamsi,442,batting_odi,SOUTH AFRICA,
69,Nadeem Ahmed,441,batting_odi,HONG KONG,
70,Angelo Mathews,439,batting_odi,SRI LANKA,
71,Thisara Perera,437,batting_odi,SRI LANKA,
72,Carlos Brathwaite,435,batting_odi,WINDIES,
73,Mark Watt,432,batting_odi,SCOTLAND,
74,Chris Morris,429,batting_odi,SOUTH AFRICA,
75,Shaheen Afridi,428,batting_odi,PAKISTAN,
76,Devendra Bishoo,424,batting_odi,WINDIES,
77,Umesh Yadav,423,batting_odi,INDIA,
78,Nathan Lyon,420,batting_odi,AUSTRALIA,
79,Faheem Ashraf,419,batting_odi,PAKISTAN,
80,Ben Stokes,419,batting_odi,ENGLAND,
81,Ehsan Khan,416,batting_odi,HONG KONG,
82,Rohan Mustafa,412,batting_odi,UNITED ARAB EMIRATES,
83,Sean Williams,411,batting_odi,ZIMBABWE,
84,Kane Richardson,408,batting_odi,AUSTRALIA,
85,Barry McCarthy,407,batting_odi,IRELAND,
86,Alasdair Evans,404,batting_odi,SCOTLAND,
87,Kevin O Brien,399,batting_odi,IRELAND,
88,Doug Bracewell,398,batting_odi,NEW ZEALAND,
89,Kyle Jarvis,398,batting_odi,ZIMBABWE,
90,Aftab Alam,397,batting_odi,AFGHANISTAN,
91,Marcus Stoinis,395,batting_odi,AUSTRALIA,
92,Imran Haider,392,batting_odi,UNITED ARAB EMIRATES,
93,Kedar Jadhav,389,batting_odi,INDIA,
94,Usman Shinwari,388,batting_odi,PAKISTAN,
95,James Neesham,387,batting_odi,NEW ZEALAND,
96,Sheldon Cottrell,379,batting_odi,WINDIES,
97,Shapoor Zadran,378,batting_odi,AFGHANISTAN,
98,Jake Ball,376,batting_odi,ENGLAND,
99,Bradley Wheal,359,batting_odi,SCOTLAND,
100,Mahuru Dai,358,batting_odi,PAPUA NEW GUINEA,
