sn,Position,Player,Rating
0,1,Virat Kohli,922
1,2,Kane Williamson,913
2,3,Cheteshwar Pujara,881
3,4,Steven Smith,857
4,5,Henry Nicholls,778
5,6,Joe Root,763
6,7,David Warner,756
7,8,Aiden Markram,719
8,9,Quinton de Kock,718
9,10,Faf du Plessis,702
10,11,Usman Khawaja,682
11,12,Tom Latham,680
12,13,Dimuth Karunaratne,676
13,14,Ross Taylor,676
14,15,Rishabh Pant,673
15,16,Hashim Amla,664
16,17,Angelo Mathews,660
17,18,Babar Azam,658
18,19,Kusal Mendis,657
19,20,Travis Head,644
20,21,Ajinkya Rahane,643
21,22,Asad Shafiq,643
22,23,Dean Elgar,639
23,24,Azhar Ali,639
24,25,Tamim Iqbal,632
25,26,Jonny Bairstow,626
26,27,Jos Buttler,624
27,28,Brendan Taylor,607
28,29,Shakib Al Hasan,604
29,30,Dinesh Chandimal,603
30,31,Ben Stokes,590
31,32,Mushfiqur Rahim,588
32,33,BJ Watling,583
33,34,Mahmudullah,574
34,35,Jeet Raval,572
35,36,Kraigg Brathwaite,572
36,37,Jason Holder,571
37,38,Niroshan Dickwella,564
38,39,Temba Bavuma,563
39,40,Sarfaraz Ahmed,562
40,41,Kusal Perera,559
41,42,Roston Chase,552
42,43,Mominul Haque,551
43,44,Lokesh Rahul,550
44,45,Hamilton Masakadza,544
45,46,Shaun Marsh,540
46,47,Shane Dowrich,536
47,48,Haris Sohail,534
48,49,Shimron Hetmyer,530
49,50,Shikhar Dhawan,527
50,51,Rohit Sharma,524
51,52,Peter Handscomb,517
52,53,Tim Paine,509
53,54,Murali Vijay,506
54,55,Sam Curran,504
55,56,Shai Hope,503
56,57,Dhananjaya de Silva,502
57,58,Ravindra Jadeja,488
58,59,Colin de Grandhomme,487
59,60,Darren Bravo,480
60,61,Mayank Agarwal,472
61,62,Shan Masood,470
62,63,Moeen Ali,466
63,64,Sikandar Raza,466
64,65,Roshen Silva,456
65,66,Oshada Fernando,455
66,67,Soumya Sarkar,453
67,68,Kevin O Brien,448
68,69,Prithvi Shaw,447
69,70,Joe Burns,447
70,71,Ben Foakes,446
71,72,Cameron Bancroft,441
72,73,Keaton Jennings,436
73,74,Imam-ul-Haq,433
74,75,Marcus Harris,430
75,76,Matt Renshaw,430
76,77,Hardik Pandya,429
77,78,Chris Woakes,429
78,79,Ravichandran Ashwin,421
79,80,Peter Moores,418
80,81,Dawid Malan,411
81,82,Kieran Powell,408
82,83,Mitchell Marsh,406
83,84,Vernon Philander,401
84,85,Sean Williams,401
85,86,Kurtis Patterson,399
86,87,Aaron Finch,385
87,88,Imrul Kayes,382
88,89,Rahmat Shah,378
89,90,Mitchell Starc,378
90,91,Mark Stoneman,371
91,92,Liton Das,366
92,93,John Campbell,361
93,94,Pat Cummins,360
94,95,James Vince,356
95,96,Marnus Labuschagne,347
96,97,Kaushal Silva,345
97,98,Lahiru Thirimanne,342
98,99,Shadman Islam,341
99,100,Shadab Khan,340
100,1,Virat Kohli,890
101,2,Rohit Sharma,839
102,3,Ross Taylor,830
103,4,Quinton de Kock,803
104,5,Babar Azam,801
105,6,Faf du Plessis,801
106,7,Joe Root,791
107,8,Fakhar Zaman,755
108,9,Martin Guptill,750
109,10,Shai Hope,744
110,11,Kane Williamson,736
111,12,Shikhar Dhawan,732
112,13,Jos Buttler,710
113,14,Hashim Amla,704
114,15,Imam-ul-Haq,695
115,16,Jonny Bairstow,691
116,17,Eoin Morgan,690
117,18,Mushfiqur Rahim,689
118,19,Tamim Iqbal,679
119,20,MS Dhoni,674
120,21,Aaron Finch,661
121,22,Jason Roy,649
122,23,Shimron Hetmyer,630
123,24,Kedar Jadhav,624
124,25,Usman Khawaja,621
125,26,Tom Latham,617
126,27,Travis Head,616
127,28,Ben Stokes,612
128,29,Marcus Stoinis,610
129,30,David Miller,610
130,31,Alex Hales,607
131,32,Paul Stirling,603
132,33,Glenn Maxwell,602
133,34,Mohammad Hafeez,596
134,35,Kyle Coetzer,594
135,36,Shakib Al Hasan,594
136,37,Niroshan Dickwella,592
137,38,Angelo Mathews,592
138,39,Soumya Sarkar,580
139,40,Brendan Taylor,576
140,41,Chris Gayle,570
141,42,Henry Nicholls,567
142,43,Rahmat Shah,567
143,44,Mohammad Shahzad,567
144,45,Peter Handscomb,557
145,46,Shoaib Malik,553
146,47,Shaun Marsh,546
147,48,Mahmudullah,546
148,49,Calum MacLeod,545
149,50,Ambati Rayudu,544
150,51,Sarfaraz Ahmed,542
151,52,Ed Joyce,541
152,53,Sikandar Raza,539
153,54,Kevin O Brien,538
154,55,Mohammad Nabi,537
155,56,Ajinkya Rahane,535
156,57,Kusal Mendis,533
157,58,Anshuman Rath,532
158,59,Andrew Balbirnie,524
159,60,Jean-Paul Duminy,524
160,61,Upul Tharanga,519
161,62,James Neesham,518
162,63,Rassie van der Dussen,517
163,64,Sean Williams,516
164,65,Imrul Kayes,513
165,66,Colin Munro,509
166,67,Marlon Samuels,503
167,68,William Porterfield,501
168,69,Kusal Perera,497
169,70,Shaiman Anwar,496
170,71,Rameez Shahzad,494
171,72,Sabbir Rahman,493
172,73,Thisara Perera,493
