description,industry,level,size,line_code,value
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,total,0,6–19 employees,D0201_01,18822
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,total,0,20–49 employees,D0201_01,5004
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,total,0,50–99 employees,D0201_01,1680
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,total,0,100+ employees,D0201_01,1533
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Agriculture, forestry, & fishing",1,total,D0201_01,2439
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Agriculture,2,total,D0201_01,1506
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Commercial fishing,2,total,D0201_01,39
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Forestry & logging,2,total,D0201_01,222
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Agriculture, forestry, & fishing support services",2,total,D0201_01,672
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Mining,1,total,D0201_01,90
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Manufacturing,1,total,D0201_01,3756
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Food, beverage, & tobacco",2,total,D0201_01,735
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Textile, clothing, footwear, & leather",2,total,D0201_01,174
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Wood & paper product,2,total,D0201_01,423
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Printing, publishing, & recorded media",2,total,D0201_01,132
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Petroleum, coal, chemical, & associated product",2,total,D0201_01,315
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Non-metallic mineral product,2,total,D0201_01,138
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Metal product,2,total,D0201_01,714
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Transport and industrial machinery & equipment,2,total,D0201_01,699
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Other machinery & equipment,2,total,D0201_01,168
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Other manufacturing,2,total,D0201_01,252
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Electricity, gas, water, & waste services",1,total,D0201_01,105
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Construction,1,total,D0201_01,4047
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Wholesale trade,1,total,D0201_01,2016
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Machinery & equipment wholesaling,2,total,D0201_01,654
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Other wholesale trade,2,total,D0201_01,1359
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Retail trade,1,total,D0201_01,2541
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Accommodation & food services,1,total,D0201_01,2643
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Transport, postal, & warehousing",1,total,D0201_01,1041
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Information media & telecommunications,1,total,D0201_01,183
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Publishing,2,total,D0201_01,54
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Motion picture,2,total,D0201_01,66
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Telecommunications,2,total,D0201_01,63
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Financial & insurance services,1,total,D0201_01,333
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Finance,2,total,D0201_01,126
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Insurance,2,total,D0201_01,27
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Auxiliary,2,total,D0201_01,183
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Rental, hiring, & real estate services",1,total,D0201_01,630
