sn,Position,Player,Rating
0,1,Pat Cummins,878
1,2,James Anderson,862
2,3,Kagiso Rabada,851
3,4,Vernon Philander,813
4,5,Neil Wagner,801
5,6,Ravindra Jadeja,794
6,7,Trent Boult,787
7,8,Mohammad Abbas ,770
8,9,Jason Holder,770
9,10,Ravichandran Ashwin,763
10,11,Kemar Roach,744
11,12,Tim Southee,736
12,13,Josh Hazlewood,728
13,14,Shannon Gabriel,725
14,15,Mitchell Starc,719
15,16,Jasprit Bumrah,711
16,17,Yasir Shah,710
17,18,Nathan Lyon,690
18,19,Stuart Broad,680
19,20,Shakib Al Hasan,662
20,21,Mohammed Shami,660
21,22,Taijul Islam,659
22,23,Mehidy Hasan,635
23,24,Keshav Maharaj,622
24,25,Moeen Ali,621
25,26,Ishant Sharma,615
26,27,Dale Steyn,610
27,28,Ben Stokes,606
28,29,Umesh Yadav,573
29,30,Suranga Lakmal,573
30,31,Mohammad Amir,573
31,32,Dilruwan Perera,569
32,33,Chris Woakes,523
33,34,Devendra Bishoo,514
34,35,Wahab Riaz,506
35,36,Peter Siddle,448
36,37,Adil Rashid,436
37,38,Lahiru Kumara,434
38,39,Kyle Jarvis,414
39,40,Jack Leach,402
40,41,Kuldeep Yadav,402
41,42,Rahat Ali,385
42,43,Vishwa Fernando,385
43,44,Roston Chase,384
44,45,Akila Dananjaya,381
45,46,Hasan Ali,379
46,47,Colin de Grandhomme,379
47,48,Lakshan Rangika,366
48,49,Lungi Ngidi,344
49,50,Yamin Ahmadzai,332
50,51,Kasun Rajitha,326
51,52,Mustafizur Rahman,307
52,53,Alzarri Joseph,299
53,54,Mark Wood,298
54,55,Bilal Asif,297
55,56,Faheem Ashraf,292
56,57,Marnus Labuschagne,285
57,58,Hardik Pandya,277
58,59,Shaheen Afridi,271
59,60,Miguel Cummins,257
60,61,Matt Henry,254
61,62,William Somerville,254
62,63,Ish Sodhi,254
63,64,Stuart Thompson,253
64,65,Malinda Pushpakumara,253
65,66,Tim Murtagh,240
66,67,Rashid Khan,239
67,68,Mitchell Marsh,237
68,69,Mahmudullah,235
69,70,Jomel Warrican,222
70,71,Sean Williams,214
71,72,Sikandar Raza,212
72,73,Sam Curran,209
73,74,Ajaz Patel,202
74,75,Shadab Khan,202
75,76,Jhye Richardson,195
76,77,Donald Tiripano,191
77,78,Dushmantha Chameera,189
78,79,Lasith Embuldeniya,183
79,80,Abu Jayed,180
80,81,Dhananjaya de Silva,170
81,82,Hamilton Masakadza,154
82,83,Nayeem Hasan,143
83,84,Angelo Mathews,141
84,85,Lahiru Gamage,133
85,86,Keemo Paul,132
86,87,Kane Williamson,129
87,88,Abdur Razzak,129
88,89,Tendai Chatara,127
89,90,Craig Overton,127
90,91,Rubel Hossain,126
91,92,Kraigg Brathwaite,121
92,93,Haris Sohail,120
93,94,Hanuma Vihari,119
94,95,Nazmul Islam,116
95,96,Joe Root,113
96,97,Dean Elgar,110
97,98,Waqar Salamkheil,98
98,99,Jon Holland,97
99,100,Kamrul Islam ,89
100,1,Jasprit Bumrah,774
101,2,Trent Boult,759
102,3,Rashid Khan,747
103,4,Imran Tahir,703
104,5,Kagiso Rabada,701
105,6,Kuldeep Yadav,689
106,7,Pat Cummins,681
107,8,Yuzvendra Chahal,680
108,9,Mujeeb Ur Rahman,678
109,10,Adil Rashid,672
110,11,Mustafizur Rahman,667
111,12,Josh Hazlewood,648
112,13,Hasan Ali,634
113,14,Akila Dananjaya,627
114,15,Matt Henry,625
115,16,Bhuvneshwar Kumar,619
116,17,Chris Woakes,618
117,18,Dale Steyn,618
118,19,Mohammad Nabi,614
119,20,Mitchell Starc,607
120,21,Andile Phehlukwayo,599
121,22,Lockie Ferguson,598
122,23,Shadab Khan,597
123,24,Mark Wood,587
124,25,Mitchell Santner,586
125,26,Lungi Ngidi,584
126,27,Mashrafe Mortaza,581
127,28,Shakib Al Hasan,575
128,29,Mehidy Hasan,565
129,30,Jason Holder,562
130,31,Tim Murtagh,562
131,32,Mohammad Amir,562
132,33,Ravindra Jadeja,555
133,34,Moeen Ali,554
134,35,Mohammed Shami,549
135,36,Liam Plunkett,548
136,37,Graeme Cremer,540
137,38,Ish Sodhi,537
138,39,Tim Southee,536
139,40,Suranga Lakmal,534
140,41,Junaid Khan,529
141,42,Andy McBrine,526
142,43,David Willey,521
143,44,Imad Wasim,519
144,45,Ashley Nurse,515
145,46,Lasith Malinga,515
146,47,Jhye Richardson,508
147,48,Safyaan Sharif,508
148,49,Adam Zampa,498
149,50,Mohammad Hafeez,498
150,51,Tendai Chatara,495
151,52,Boyd Rankin,494
152,53,Dwaine Pretorius,488
153,54,Sikandar Raza,482
154,55,Dawlat Zadran,480
155,56,Colin de Grandhomme,476
156,57,Rubel Hossain,473
157,58,Hardik Pandya,470
158,59,Mohammad Naveed,470
159,60,Nathan Coulter-Nile,467
160,61,Kemar Roach,463
161,62,Ahmed Raza,459
162,63,George Dockrell,459
163,64,Nuwan Pradeep,458
164,65,Dushmantha Chameera,455
165,66,Yasir Shah,454
166,67,Gulbadin Naib,446
167,68,Tabraiz Shamsi,442
168,69,Nadeem Ahmed,441
169,70,Angelo Mathews,439
170,71,Thisara Perera,437
171,72,Carlos Brathwaite,435
